freq,airpol,nace_r2,unit,geo\TIME_PERIOD	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 	2023-Q1 	2023-Q2 	2023-Q3 
Q,GHG,TOTAL_HH,THS_T,HR	7063.367 s	6622.7 s	7571.684 s	7413.565 s	7097.519 s	6618.621 s	7169.915 s	7431.183 s	7021.176 s	6048.309 s	6733.261 s	6687.387 s	6280.262 s	5755.266 s	6470.662 s	6731.945 s	6092.064 s	5877.245 s	6091.164 s	6439.371 s	6173.335 s	5799.76 s	6348.063 s	6676.694 s	6109.966 s	5948.314 s	6338.721 s	6834.265 s	6509.721 s	6107.448 s	6633.36 s	6877.738 s	6292.51 s	5575.067 s	6490.085 s	6528.456 s	6316.137 s	5817.336 s	6485.486 s	6443.575 s	6179.758 s	5324.295 s	6203.229 s	6371.651 s	6150.984 s	5726.803 s	6439.047 s	6350.773 s	6103.592 s	5749.727 s	6202.79 s	5990.8 s	5912.055 s	5762.886 s	6193.45 s
Q,GHG,TOTAL_HH,THS_T,HU	19252.025 s	16252.439 s	16004.431 s	20344.045 s	19627.605 s	15752.472 s	15627.669 s	19956.707 s	18530.836 s	14467.857 s	15035.603 s	17777.819 s	17131.855 s	14264.593 s	14476.67 s	17604.141 s	16397.037 s	14628.166 s	15138.451 s	18100.612 s	17815.488 s	15255.151 s	15841.32 s	18884.929 s	17575.832 s	15229.137 s	15888.046 s	19202 s	18641.147 s	15622.832 s	16376.566 s	19807.446 s	19253.767 s	15454.98 s	16387.346 s	19466.796 s	18447.99 s	15810.018 s	16352.464 s	18848.549 s	18440.263 s	13637.659 s	15432.425 s	18353.811 s	17304.48 s	15742.842 s	15640.565 s	19228.208 s	17789.573 s	15486.064 s	14966.263 s	17507.358 s	16316.493 s	14510.621 s	14346.317 s
Q,GHG,TOTAL_HH,THS_T,IE	19065.706 s	17470.108 s	16046.817 s	18105.222 s	18160.931 s	16560.349 s	15783.832 s	16872.644 s	17614.445 s	17352.257 s	16021.712 s	17757.674 s	18329.653 s	17246.981 s	16089.235 s	17259.272 s	17729.342 s	17229.917 s	16415.27 s	17405.356 s	18588.069 s	17781.191 s	17344.129 s	17918.891 s	19614.255 s	19022.939 s	17990.575 s	19947.082 s	20080.202 s	19382.166 s	19021.773 s	20211.123 s	20942.098 s	20140.852 s	19117.979 s	20000.766 s	19231.397 s	20166.81 s	18914.217 s	19745.728 s	18559.024 s	13769.142 s	16001.766 s	16412.134 s	15896.364 s	16424.041 s	17442.895 s	17887.903 s	17566.326 s	18656.315 s	18870.8 s	18802.393 s	18391.995 s	18957.472 s	17925.342 s
Q,GHG,TOTAL_HH,THS_T,IT	147129.992 s	125870.496 s	122583.856 s	144848.889 s	147302.052 s	122634.691 s	118918.31 s	137577.667 s	143986.268 s	119421.113 s	115603.355 s	128398.063 s	133615.264 s	107726.247 s	106722.467 s	123456.078 s	122485.702 s	104949.065 s	102425.722 s	118993.614 s	124653.664 s	105229.329 s	105899.057 s	122904.035 s	125591.596 s	103812.003 s	102492.242 s	123718.296 s	124936.625 s	104411.062 s	100977.843 s	123197.622 s	126669.353 s	101078.236 s	101741.879 s	118842.921 s	122309.348 s	103966.998 s	100222.615 s	112384.392 s	111208.069 s	79519.987 s	94347.437 s	108920.697 s	113511.044 s	99214.455 s	97920.832 s	117660.745 s	120102.493 s	100964.68 s	98432.028 s	109415.622 s	113868.605 s	95773.299 s	93772.166 s
Q,GHG,TOTAL_HH,THS_T,LT	5898.085 s	5236.964 s	5687.306 s	6144.867 s	5681.044 s	5687.055 s	6137.66 s	6052.855 s	5742.91 s	5480.291 s	6259.21 s	5927.218 s	5322.632 s	5279.619 s	6113.743 s	5504.432 s	5255.181 s	5304.189 s	6086.157 s	5749.261 s	5292.984 s	5824.324 s	6101.58 s	5834.749 s	5329.71 s	5958.133 s	6147.263 s	5906.715 s	5500.606 s	5933.025 s	6405.24 s	6306.244 s	5875.103 s	6322.873 s	6622.04 s	6159.767 s	5849.637 s	6334.475 s	6730.488 s	6566.394 s	6196.733 s	6690.911 s	7486.313 s	6673.832 s	5909.937 s	6391.272 s	6799.893 s	6259.531 s	5657.243 s	5953.544 s	6412.477 s	6274.046 s	5537.375 s	6175.796 s	6403.007 s
Q,GHG,TOTAL_HH,THS_T,LU	2749.141 s	2426.122 s	2285.494 s	2722.292 s	2708.277 s	2315.139 s	1906.415 s	2446.393 s	2555.79 s	2272.372 s	2036.144 s	2390.178 s	2543.517 s	2132.394 s	1933.014 s	2484.365 s	2491.877 s	2179.782 s	2004.124 s	2558.625 s	2954.739 s	2428.461 s	2264.36 s	2588.702 s	2739.331 s	2459.301 s	2263.069 s	2714.574 s	2722.791 s	2473.024 s	2339.362 s	2654.747 s	2730.264 s	2335.37 s	2298.818 s	2862.782 s	2576.851 s	2550.05 s	2666.598 s	2910.137 s	2619.808 s	2452.616 s	2270.676 s	2548.384 s	2568.116 s	2466.448 s	2273.065 s	2572.031 s	2513.143 s	2269.668 s	2158.097 s	2408.168 s	2337.882 s	2192.323 s	2028.458 s
Q,GHG,TOTAL_HH,THS_T,LV	3767.157 s	2970.171 s	3256.219 s	3586.419 s	3416.269 s	2878.669 s	3008.815 s	3335.01 s	3291.408 s	2724.023 s	3145.025 s	3179.328 s	3187.457 s	2662.424 s	3101.857 s	3220.054 s	2940.448 s	3003.707 s	3076.944 s	3281.632 s	2899.373 s	2939.748 s	3298.019 s	3362.735 s	2991.527 s	2962.91 s	3101.019 s	3385.348 s	3174.954 s	3094.932 s	3177.498 s	3264.537 s	3295.014 s	3116.859 s	3361.297 s	3456.541 s	3023.791 s	3208.212 s	3658.326 s	3258.252 s	2824.645 s	2852.479 s	3006.445 s	2999.327 s	2955.888 s	2835.37 s	3128.361 s	3059.562 s	2722.583 s	2724.158 s	2975.08 s	3155.773 s	2878.814 s	2839.893 s	3075.379 s
Q,GHG,TOTAL_HH,THS_T,MT	776.198 s	765.026 s	867.397 s	763.072 s	770.401 s	752.096 s	890.017 s	769.522 s	827.563 s	799.868 s	952.724 s	775.753 s	762.755 s	723.971 s	826.033 s	727.787 s	743.445 s	737.279 s	843.538 s	738.313 s	755.846 s	552.098 s	567.402 s	502.986 s	511.375 s	481.502 s	574.644 s	504.809 s	527.601 s	540.966 s	642.355 s	554.049 s	566.807 s	558.212 s	636.327 s	573.363 s	619.346 s	629.351 s	652.399 s	583.132 s	635.371 s	500.548 s	598.375 s	489.673 s	519.242 s	557.572 s	612.58 s	537.87 s	562.467 s	555.556 s	645.164 s	564.105 s	564.97 s	599.065 s	694.825 s
Q,GHG,TOTAL_HH,THS_T,NL	64103.507 s	54979.208 s	50766.419 s	62896.321 s	60906.014 s	51337.803 s	48538.843 s	58092.455 s	59642.211 s	51007.824 s	47957.703 s	57039.123 s	59422.622 s	51741.726 s	47756.119 s	57159.978 s	55077.876 s	50242.8 s	47742.178 s	56877.189 s	58706.761 s	52029.848 s	49533.326 s	56740.178 s	58045.618 s	51544.224 s	48551.824 s	58825.097 s	58603.021 s	51366.886 s	47310.518 s	56390.919 s	58119.58 s	49442.657 s	46369.609 s	54195.429 s	59513.972 	44973.331 	46628.558 	53311.913 	51714.983 	40782.254 	38221.062 	51475.204 	51896.38 	42936.134 	40173.643 	50037.752 	48594.841 	41004.675 	39210.207 	45511.143 	47453.496 	40445.674 	38820.037 
Q,GHG,TOTAL_HH,THS_T,PL	112281.8 s	94697.892 s	93104.331 s	116175.741 s	112496.337 s	95500.607 s	92895.467 s	113583.854 s	111693.81 s	93837.482 s	90791.841 s	110232.007 s	109791.203 s	92915.633 s	92076.312 s	107492.368 s	103359.72 s	91301.577 s	89458.25 s	106780.671 s	103405.727 s	91579.957 s	91061.581 s	107579.283 s	105997.612 s	93754.343 s	92890.217 s	115093.559 s	114735.181 s	99386.555 s	97774.631 s	114165.536 s	116407.282 s	96525.854 s	98786.637 s	114417.568 s	107926.906 s	96083.712 s	94278.25 s	107099.399 s	104147.213 s	86664.305 s	90588.464 s	107899.199 s	108670.691 s	97290.743 s	99574.181 s	115347.736 s	108777.537 s	95827.711 s	93148.26 s	107978.52 s	100815.521 s	86706.84 s	86056.141 s
Q,GHG,TOTAL_HH,THS_T,PT	17435.661 s	17421.645 s	18873.854 s	18669.792 s	17891.226 s	17228.797 s	18036.096 s	17815.497 s	17944.935 s	16653.508 s	18149.89 s	16577.175 s	17080.788 s	16461.329 s	16719.207 s	17012.199 s	16029.035 s	16378.328 s	17375.207 s	17354.122 s	17688.554 s	17487.595 s	18139.89 s	17835.167 s	16620.421 s	16409.012 s	18073.492 s	17957.745 s	18532.935 s	18302.926 s	19028.665 s	18419.707 s	17812.394 s	17177.81 s	18555.737 s	17545.836 s	16842.694 s	16998.702 s	17145.988 s	16890.813 s	16268.644 s	12607.678 s	15462.601 s	15136.385 s	14000.218 s	14430.368 s	14773.682 s	15345.722 s	15341.705 s	15061.401 s	15467.397 s	14944.289 s	15378.389 s	14645.522 s	14789.651 s
Q,GHG,TOTAL_HH,THS_T,RO	31143.016 s	29083.704 s	30871.302 s	36557.933 s	31846.188 s	30935.753 s	32422.992 s	38653.193 s	32546.079 s	29719.585 s	32740.605 s	36801.711 s	28772.96 s	26286.588 s	29954.401 s	35151.415 s	29520.782 s	26729.766 s	29464.566 s	34092.335 s	28119.256 s	26254.63 s	30772.168 s	33734.383 s	27857.921 s	26342.595 s	29918.281 s	33434.992 s	29428.944 s	27346.761 s	30419.022 s	33747.109 s	30004.278 s	26353.149 s	30317.564 s	35126.232 s	28849.078 s	26392.248 s	29814.273 s	33358.492 s	28575.332 s	23257.714 s	29065.397 s	33272.492 s	28651.773 s	26969.939 s	29368.616 s	32696.023 s	27764.902 s	25527.566 s	27455.494 s	30872.21 s	25685.537 s	23380.998 s	26608.079 s
Q,GHG,TOTAL_HH,THS_T,SE	18998.621 	16274.958 	15158.766 	18407.56 	17665.121 	15494.64 	14542.915 	15728.619 	16126.863 	14400.572 	13791.98 	15583.094 	15921.308 	14308.782 	13687.293 	14515.91 	14617.1 	14032.588 	13642.036 	14672.66 	15179.025 	14034.245 	13509.52 	14741.98 	15162.536 	14094.75 	13884.971 	15146.14 	14491.704 	13952.434 	13729.788 	14639.8 	14429.763 	13747.757 	13445.321 	14352.445 	14202.975 	13469.791 	13389.442 	13624.916 	12747.928 	11703.646 	11920.892 	12568.564 	12614.512 	12762.759 	12404.125 	13248.854 	12446.509 	12392.851 	11860.257 	12848.761 	12323.28 	12148.03 	11614.66 
Q,GHG,TOTAL_HH,THS_T,SI	5134.317 s	4313.404 s	4482.317 s	5184.647 s	5111.065 s	4373.15 s	4298.286 s	4803.464 s	4858.127 s	4177.72 s	4159.047 s	4522.886 s	4540.714 s	3787.917 s	4309.823 s	4677.463 s	4235.018 s	3880.79 s	3720.976 s	3860.901 s	4160.333 s	3906.68 s	4079.141 s	4120.764 s	4195.676 s	3906.614 s	4207.982 s	4707.038 s	4644.228 s	4091.75 s	4282.171 s	4423.329 s	4688.37 s	3817.229 s	4368.507 s	4655.522 s	4432.102 s	4120.245 s	4201.681 s	4500.411 s	4097.321 s	3491.691 s	4199.93 s	4559.585 s	4316.517 s	3826.372 s	4024.762 s	4547.582 s	4549.067 s	4177.976 s	4028.534 s	3926.187 s	4153.347 s	3890.385 s	3839.451 s
Q,GHG,TOTAL_HH,THS_T,SK	11818.209 s	10756.574 s	10861.771 s	12423.944 s	11801.562 s	10943.49 s	10566.794 s	11630.117 s	11222.287 s	9979.828 s	9953.693 s	11376.227 s	10798.891 s	10108.363 s	10278.213 s	11023.74 s	9952.51 s	9914.669 s	9776.171 s	10579.623 s	10254.895 s	10208.851 s	9914.822 s	10589.507 s	10126.266 s	10208.043 s	10127.002 s	10955.033 s	10569.067 s	10424.514 s	10315.033 s	11206.851 s	10781.962 s	10329.387 s	10356.356 s	10915.997 s	10568.352 s	9922.71 s	9410.823 s	10158.086 s	9781.773 s	8153.496 s	8993.673 s	10325.811 s	10434.933 s	10063.248 s	9697.168 s	11099.764 s	10283.455 s	9220.524 s	8614.702 s	9843.954 s	10190.868 s	9130.189 s	8694.389 s
Q,GHG,TOTAL_HH,T_HAB,AT	2.591 s	2.285 s	2.243 s	2.707 s	2.619 s	2.254 s	2.128 s	2.492 s	2.484 s	2.1 s	2.025 s	2.405 s	2.402 s	2.07 s	1.991 s	2.308 s	2.195 s	1.985 s	1.915 s	2.212 s	2.26 s	1.966 s	1.916 s	2.23 s	2.205 s	1.941 s	1.826 s	2.279 s	2.358 s	2.007 s	1.942 s	2.237 s	2.25 s	1.875 s	1.821 s	2.186 s	2.179 s	2.052 s	1.999 s	2.236 s	2.205 s	1.606 s	1.834 s	2.1 s	2.108 s	1.973 s	1.936 s	2.218 s	2.13 s	1.87 s	1.729 s	1.941 s	1.949 s	1.772 s	1.613 s
Q,GHG,TOTAL_HH,T_HAB,BE	3.536 s	2.963 s	2.625 s	3.37 s	3.243 s	2.692 s	2.501 s	2.982 s	3.119 s	2.654 s	2.392 s	2.895 s	3.16 s	2.696 s	2.266 s	2.837 s	2.841 s	2.475 s	2.274 s	2.805 s	3.004 s	2.538 s	2.339 s	2.766 s	2.9 s	2.492 s	2.224 s	2.928 s	2.932 s	2.515 s	2.21 s	2.824 s	2.964 s	2.423 s	2.264 s	2.878 s	2.864 s	2.526 s	2.253 s	2.783 s	2.72 s	2.054 s	2.091 s	2.518 s	2.659 s	2.382 s	1.976 s	2.526 s	2.52 s	2.156 s	1.995 s	2.358 s	2.461 s	2.104 s	1.815 s
Q,GHG,TOTAL_HH,T_HAB,BG	1.985 s	1.764 s	2.036 s	2.277 s	2.182 s	2.09 s	2.177 s	2.518 s	2.266 s	1.898 s	2.054 s	2.132 s	1.852 s	1.554 s	1.94 s	2.308 s	2.037 s	1.815 s	2.022 s	2.262 s	2.086 s	1.937 s	2.246 s	2.338 s	1.981 s	1.804 s	2.089 s	2.457 s	2.216 s	2.047 s	2.172 s	2.242 s	1.986 s	1.797 s	2.047 s	2.281 s	2.073 s	1.822 s	1.99 s	2.079 s	1.859 s	1.552 s	1.798 s	1.925 s	1.827 s	1.817 s	2.126 s	2.328 s	2.46 s	2.13 s	2.209 s	2.32 s	2.045 s	1.591 s	1.804 s
Q,GHG,TOTAL_HH,T_HAB,CY	3.194 s	2.846 s	3.256 s	2.89 s	3.055 s	2.726 s	2.788 s	2.696 s	2.796 s	2.403 s	2.747 s	2.375 s	2.315 s	2.232 s	2.466 s	2.391 s	2.451 s	2.325 s	2.626 s	2.437 s	2.462 s	2.284 s	2.627 s	2.422 s	2.555 s	2.42 s	2.766 s	2.561 s	2.798 s	2.43 s	2.763 s	2.527 s	2.608 s	2.519 s	2.73 s	2.498 s	2.598 s	2.369 s	2.712 s	2.401 s	2.558 s	1.933 s	2.675 s	2.425 s	2.405 s	2.228 s	2.666 s	2.347 s	2.599 s	2.201 s	2.549 s	2.277 s	2.382 s	2.206 s	2.603 s
Q,GHG,TOTAL_HH,T_HAB,CZ	3.404 s	2.909 s	2.875 s	3.365 s	3.288 s	2.902 s	2.841 s	3.265 s	3.316 s	2.886 s	2.616 s	3.068 s	3.142 s	2.704 s	2.575 s	3.014 s	3.054 s	2.693 s	2.545 s	2.968 s	3.043 s	2.669 s	2.571 s	2.977 s	3.049 s	2.673 s	2.614 s	3.13 s	3.129 s	2.643 s	2.529 s	3.003 s	3.103 s	2.542 s	2.622 s	3.033 s	2.952 s	2.503 s	2.458 s	2.776 s	2.722 s	2.104 s	2.187 s	2.665 s	2.743 s	2.346 s	2.327 s	2.842 s	2.764 s	2.356 s	2.357 s	2.65 s	2.558 s	2.139 s	2.12 s
Q,GHG,TOTAL_HH,T_HAB,DE	3.347 s	2.929 s	2.763 s	3.408 s	3.306 s	2.807 s	2.733 s	3.236 s	3.361 s	2.854 s	2.735 s	3.255 s	3.454 s	2.913 s	2.812 s	3.219 s	3.182 s	2.727 s	2.651 s	3.119 s	3.206 s	2.713 s	2.738 s	3.087 s	3.169 s	2.739 s	2.603 s	3.093 s	3.214 s	2.69 s	2.59 s	2.914 s	3.079 s	2.528 s	2.549 s	2.892 s	2.863 s	2.432 s	2.309 s	2.7 s	2.602 s	1.933 s	2.1 s	2.581 s	2.576 s	2.26 s	2.17 s	2.619 s	2.59 s	2.224 s	2.156 s	2.445 s	2.49 s	2.049 s	1.881 s
Q,GHG,TOTAL_HH,T_HAB,DK	4.884 s	4.402 s	4.342 s	4.89 s	4.948 s	4.457 s	4.256 s	4.577 s	4.597 s	4.126 s	3.869 s	4.339 s	4.52 s	4.135 s	3.863 s	4.073 s	4.009 s	3.724 s	3.746 s	3.911 s	4.034 s	3.826 s	3.53 s	3.901 s	4.18 s	3.791 s	3.72 s	4.014 s	4.079 s	3.837 s	3.712 s	3.985 s	4.177 s	3.904 s	3.787 s	4.084 s	4.026 s	3.858 s	3.624 s	3.787 s	3.648 s	3.19 s	3.225 s	3.41 s	3.611 s	3.588 s	3.497 s	3.575 s	3.439 s	3.421 s	3.272 s	3.317 s	3.305 s	3.164 s	2.997 s
Q,GHG,TOTAL_HH,T_HAB,EE	4.638 s	3.887 s	4.004 s	4.671 s	4.668 s	3.984 s	4.217 s	4.399 s	4.218 s	3.833 s	4.013 s	4.573 s	4.859 s	4.433 s	4.695 s	4.556 s	4.306 s	4.443 s	4.517 s	4.634 s	4.143 s	3.723 s	3.827 s	3.859 s	3.971 s	3.48 s	4.386 s	4.563 s	4.774 s	4.348 s	4.1 s	4.307 s	4.525 s	3.995 s	4.211 s	3.875 s	3.762 s	2.856 s	2.659 s	2.732 s	2.262 s	1.952 s	2.478 s	2.493 s	2.435 s	2.202 s	2.482 s	3.103 s	2.888 s	2.747 s	2.927 s	3.105 s	2.445 s	2.07 s	1.979 s
Q,GHG,TOTAL_HH,T_HAB,EL	3.008 s	2.792 s	3.039 s	2.81 s	2.978 s	2.638 s	2.861 s	2.876 s	3.026 s	2.55 s	2.794 s	2.698 s	2.458 s	2.38 s	2.619 s	2.59 s	2.515 s	2.347 s	2.486 s	2.483 s	2.448 s	2.244 s	2.475 s	2.529 s	2.354 s	2.178 s	2.4 s	2.586 s	2.588 s	2.322 s	2.567 s	2.585 s	2.452 s	2.325 s	2.57 s	2.617 s	2.528 s	2.286 s	2.398 s	2.254 s	2.32 s	1.848 s	2.109 s	2.113 s	2.089 s	2.04 s	2.276 s	2.196 s	2.269 s	2.032 s	2.314 s	2.091 s	2.127 s	2.045 s	2.216 s
Q,GHG,TOTAL_HH,T_HAB,ES	1.968 s	1.887 s	1.891 s	2.034 s	2.024 s	1.867 s	1.893 s	1.972 s	2.052 s	1.848 s	1.807 s	1.896 s	1.759 s	1.692 s	1.735 s	1.869 s	1.732 s	1.729 s	1.805 s	1.866 s	1.89 s	1.793 s	1.83 s	1.894 s	1.778 s	1.71 s	1.742 s	1.925 s	1.866 s	1.801 s	1.785 s	1.981 s	1.881 s	1.779 s	1.75 s	1.867 s	1.765 s	1.697 s	1.658 s	1.712 s	1.601 s	1.216 s	1.472 s	1.563 s	1.512 s	1.529 s	1.522 s	1.676 s	1.64 s	1.594 s	1.567 s	1.593 s	1.577 s	1.498 s	1.455 s
Q,GHG,TOTAL_HH,T_HAB,EU27_2020	2.675 s	2.343 s	2.273 s	2.699 s	2.649 s	2.278 s	2.222 s	2.567 s	2.622 s	2.244 s	2.176 s	2.492 s	2.534 s	2.187 s	2.141 s	2.443 s	2.366 s	2.117 s	2.083 s	2.384 s	2.422 s	2.126 s	2.127 s	2.393 s	2.393 s	2.123 s	2.083 s	2.459 s	2.468 s	2.159 s	2.107 s	2.409 s	2.441 s	2.079 s	2.091 s	2.365 s	2.325 s	2.051 s	1.999 s	2.23 s	2.148 s	1.655 s	1.834 s	2.125 s	2.128 s	1.934 s	1.907 s	2.214 s	2.166 s	1.924 s	1.884 s	2.078 s	2.069 s	1.81 s	1.744 s
Q,GHG,TOTAL_HH,T_HAB,FI	4.205 s	3.489 s	3.192 s	4.026 s	4.062 s	3.223 s	2.798 s	3.227 s	3.394 s	2.875 s	2.674 s	3.236 s	3.393 s	2.903 s	2.752 s	3.17 s	3.078 s	2.691 s	2.616 s	2.976 s	2.883 s	2.549 s	2.403 s	2.882 s	3.069 s	2.649 s	2.471 s	3.084 s	2.965 s	2.59 s	2.368 s	2.772 s	3.007 s	2.512 s	2.498 s	2.872 s	2.858 s	2.451 s	2.366 s	2.663 s	2.484 s	2.093 s	2.046 s	2.303 s	2.414 s	2.078 s	2.01 s	2.386 s	2.25 s	2.092 s	2.006 s	2.322 s	2.221 s	1.899 s	1.809 s
Q,GHG,TOTAL_HH,T_HAB,FR	2.306 s	1.968 s	1.817 s	2.262 s	2.255 s	1.85 s	1.724 s	2.103 s	2.243 s	1.868 s	1.734 s	2.079 s	2.224 s	1.863 s	1.709 s	2.037 s	1.988 s	1.742 s	1.623 s	1.933 s	2.051 s	1.709 s	1.621 s	1.913 s	1.963 s	1.724 s	1.605 s	1.98 s	2.021 s	1.73 s	1.635 s	1.967 s	1.98 s	1.652 s	1.583 s	1.858 s	1.881 s	1.669 s	1.552 s	1.788 s	1.744 s	1.273 s	1.456 s	1.691 s	1.737 s	1.554 s	1.465 s	1.743 s	1.744 s	1.545 s	1.469 s	1.651 s	1.703 s	1.506 s	1.395 s
Q,GHG,TOTAL_HH,T_HAB,HR	1.642 s	1.541 s	1.763 s	1.727 s	1.655 s	1.545 s	1.675 s	1.736 s	1.643 s	1.417 s	1.578 s	1.568 s	1.475 s	1.352 s	1.521 s	1.584 s	1.436 s	1.386 s	1.439 s	1.523 s	1.463 s	1.378 s	1.51 s	1.591 s	1.46 s	1.425 s	1.521 s	1.643 s	1.572 s	1.478 s	1.608 s	1.669 s	1.535 s	1.362 s	1.588 s	1.599 s	1.55 s	1.43 s	1.596 s	1.587 s	1.525 s	1.315 s	1.533 s	1.576 s	1.547 s	1.449 s	1.63 s	1.608 s	1.547 s	1.466 s	1.59 s	1.551 s	1.546 s	1.509 s	: 
Q,GHG,TOTAL_HH,T_HAB,HU	1.923 s	1.625 s	1.601 s	2.036 s	1.967 s	1.58 s	1.568 s	2.003 s	1.862 s	1.455 s	1.513 s	1.79 s	1.73 s	1.442 s	1.464 s	1.782 s	1.661 s	1.483 s	1.535 s	1.836 s	1.809 s	1.55 s	1.61 s	1.921 s	1.789 s	1.551 s	1.62 s	1.959 s	1.904 s	1.597 s	1.674 s	2.025 s	1.97 s	1.582 s	1.677 s	1.992 s	1.888 s	1.619 s	1.674 s	1.929 s	1.888 s	1.398 s	1.582 s	1.884 s	1.78 s	1.621 s	1.612 s	1.983 s	1.837 s	1.6 s	1.546 s	1.809 s	1.7 s	1.512 s	1.495 s
Q,GHG,TOTAL_HH,T_HAB,IE	4.189 s	3.834 s	3.517 s	3.963 s	3.973 s	3.619 s	3.445 s	3.679 s	3.838 s	3.777 s	3.482 s	3.855 s	3.976 s	3.737 s	3.48 s	3.726 s	3.823 s	3.709 s	3.524 s	3.728 s	3.974 s	3.793 s	3.688 s	3.8 s	4.15 s	4.014 s	3.781 s	4.18 s	4.197 s	4.044 s	3.958 s	4.188 s	4.335 s	4.147 s	3.927 s	4.093 s	3.921 s	4.098 s	3.834 s	3.989 s	3.738 s	2.766 s	3.209 s	3.287 s	3.176 s	3.278 s	3.475 s	3.55 s	3.472 s	3.658 s	3.677 s	3.639 s	3.541 s	3.638 s	3.428 s
Q,GHG,TOTAL_HH,T_HAB,IT	2.464 s	2.105 s	2.048 s	2.418 s	2.456 s	2.044 s	1.98 s	2.29 s	2.395 s	1.985 s	1.92 s	2.131 s	2.216 s	1.786 s	1.769 s	2.046 s	2.03 s	1.74 s	1.698 s	1.973 s	2.068 s	1.747 s	1.759 s	2.042 s	2.088 s	1.727 s	1.705 s	2.059 s	2.08 s	1.74 s	1.683 s	2.055 s	2.114 s	1.688 s	1.7 s	1.986 s	2.045 s	1.74 s	1.679 s	1.883 s	1.866 s	1.338 s	1.589 s	1.836 s	1.917 s	1.678 s	1.657 s	1.992 s	2.035 s	1.713 s	1.671 s	1.858 s	1.935 s	1.629 s	1.595 s
Q,GHG,TOTAL_HH,T_HAB,LT	1.904 s	1.691 s	1.836 s	1.984 s	1.876 s	1.878 s	2.027 s	1.999 s	1.922 s	1.834 s	2.095 s	1.984 s	1.8 s	1.785 s	2.067 s	1.861 s	1.792 s	1.809 s	2.076 s	1.961 s	1.822 s	2.005 s	2.1 s	2.009 s	1.858 s	2.077 s	2.143 s	2.059 s	1.945 s	2.098 s	2.265 s	2.23 s	2.097 s	2.257 s	2.364 s	2.199 s	2.094 s	2.267 s	2.409 s	2.35 s	2.217 s	2.394 s	2.679 s	2.388 s	2.104 s	2.276 s	2.421 s	2.229 s	1.998 s	2.103 s	2.265 s	2.216 s	1.936 s	2.157 s	2.233 s
Q,GHG,TOTAL_HH,T_HAB,LU	5.458 s	4.798 s	4.49 s	5.319 s	5.265 s	4.476 s	3.658 s	4.661 s	4.85 s	4.296 s	3.82 s	4.451 s	4.701 s	3.92 s	3.537 s	4.519 s	4.499 s	3.914 s	3.582 s	4.545 s	5.231 s	4.288 s	3.97 s	4.494 s	4.743 s	4.226 s	3.862 s	4.593 s	4.598 s	4.158 s	3.905 s	4.41 s	4.52 s	3.851 s	3.764 s	4.663 s	4.176 s	4.116 s	4.277 s	4.649 s	4.167 s	3.9 s	3.592 s	4.016 s	4.033 s	3.857 s	3.536 s	3.988 s	3.873 s	3.472 s	3.281 s	3.644 s	3.522 s	3.292 s	3.03 s
Q,GHG,TOTAL_HH,T_HAB,LV	1.782 s	1.412 s	1.557 s	1.724 s	1.65 s	1.396 s	1.465 s	1.629 s	1.612 s	1.338 s	1.549 s	1.569 s	1.577 s	1.321 s	1.543 s	1.606 s	1.47 s	1.504 s	1.544 s	1.651 s	1.462 s	1.485 s	1.669 s	1.706 s	1.521 s	1.511 s	1.585 s	1.734 s	1.63 s	1.593 s	1.639 s	1.686 s	1.706 s	1.617 s	1.747 s	1.799 s	1.576 s	1.676 s	1.914 s	1.707 s	1.482 s	1.499 s	1.583 s	1.582 s	1.564 s	1.504 s	1.663 s	1.631 s	1.454 s	1.447 s	1.569 s	1.667 s	1.525 s	1.507 s	1.636 s
Q,GHG,TOTAL_HH,T_HAB,MT	1.874 s	1.847 s	2.092 s	1.839 s	1.855 s	1.809 s	2.137 s	1.844 s	1.979 s	1.908 s	2.265 s	1.838 s	1.801 s	1.703 s	1.935 s	1.697 s	1.725 s	1.701 s	1.934 s	1.682 s	1.713 s	1.244 s	1.27 s	1.119 s	1.131 s	1.06 s	1.258 s	1.099 s	1.14 s	1.16 s	1.365 s	1.168 s	1.184 s	1.156 s	1.305 s	1.165 s	1.247 s	1.254 s	1.286 s	1.137 s	1.232 s	0.971 s	1.16 s	0.948 s	1.005 s	1.076 s	1.179 s	1.033 s	1.073 s	1.053 s	1.211 s	1.048 s	1.041 s	1.102 s	1.273 s
